place_id,name,lat,lng,address,rating,user_ratings_total,types
ChIJS6BD3JhE-zoRbiE12pSyHfI,Cargills Food City - Polonnaruwa,7.942513599999999,81.01224549999999,"Maradankadawala-Habarana-Thirukkondaiadimadu Hwy, Polonnaruwa",4.3,562.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJpzRjr86n_DoRiEO3IcdSLlw,Cargills Food City Express,7.873053999999999,80.77179699999999,"No 46, Main Street Moratumulla",3.9,49.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJp0vEbHln-zoRgQyQHvEwbt8,Cargills Food City Express - Hingurakgoda,8.0426714,80.95502599999999,"2XV4+326, Airport Rd, Hingurakgoda",4.6,18.0,"grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJSwVOGnln-zoRYi_TESHRHEk,MAYURA FOODCITY AND TRADERS,8.0412252,80.95177149999999,"No 64, D.S Senanayake, Hingurakgoda",4.2,20.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJlyO9gGBE-zoRNCUYddMtyHQ,Cargills Food City - Kaduruwela,7.928211999999998,81.0342228,"No. 896, Maradankadawala-Habarana-Thirukkondaiadimadu Hwy",4.1,534.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment"
ChIJ6So_DwjU-joRietaWRLENbk,Cargills Food City - Eravur,7.777556199999999,81.6027014,"42,44, Main street, Eravur",4.2,358.0,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJ0bLRbVfN-joRMccJPLP7K0A,Cargills Food City. - Batticaloa 1,7.7141492,81.69474699999999,"No. 67, St. Anthony's Street",4.2,455.0,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJDb_YbFfN-joRTqWhyij_4LU,Cargills Food City,7.725822099999998,81.68989719999999,"PMGQ+8XC, Batticaloa",4.2,462.0,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJ5fTGSY7Y-joRZo7E1IEGbDU,welcome food city,7.9260861,81.52993719999999,WGGH+CXM,4.2,120.0,"shopping_mall,point_of_interest,establishment"
ChIJlfOrw47Y-joRcx4TYVeNrfU,MMC Food City,7.923341499999999,81.5303086,AB38,3.9,134.0,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJn3tGPizZ-joRURkHklWNXNc,Welcome food city,7.911542899999999,81.52851919999999,"963 Main St, Oddamavadi",4.4,19.0,"grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJCb4vN-j7_DoRLkU9ZAAo6-Y,Samanala Food City Express -Habarana,8.263014499999999,80.208702,"No. 72, Trincomalee Road, Habarana",4.2,35.0,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJcVvY9Qn1_DoRNwPnwBMiMwU,Cargills Food City - Anuradhapura 2,8.3401949,80.4112621,"8CR6+3FG, Anuradhapura",4.3,1363.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment"
ChIJp03-x6n1_DoRvhN9H0ls5zI,Cargills Food City - Anuradhapura 1,8.3316985,80.4091098,"248, Anuradhapura, Maithripala Senanayake Mawatha, Anuradhapura",4.1,1232.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment"
ChIJ7xl5ENbv_DoRG27nU6RV3uI,Cargills Food City Express - Thambuttegama,8.158592,80.29813229999999,"575X+C7R Thammennagama, Tambuttegama",4.3,114.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment"
ChIJA_QIM6J3-zoRcXLz7YkvAFE,Cargills Food City Express - Kanthale,8.3658889,81.0031439,"Clock Tower, අග්‍රබෝධි මාවත, Kantale",4.4,109.0,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJbdMJAj6n-zoRJwgjxEzVFB0,Cargills Food City (Express) - Mutur,8.4559396,81.26090839999999,"Main Street, Mutur",4.0,28.0,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJFdGcR9Zn_DoR3gFXG-gtz4o,Cargills Food City Express - Medawachchiya,8.5414834,80.4919316,"GFRR+HQV, Kandy - Jaffna Hwy, Medawachchiya",4.2,183.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment"
